DATE,OHUR
1/1/1976,8.1
2/1/1976,8.1
3/1/1976,8.1
4/1/1976,8
5/1/1976,7.8
6/1/1976,7.6
7/1/1976,7.5
8/1/1976,7.5
9/1/1976,7.5
10/1/1976,7.5
11/1/1976,7.5
12/1/1976,7.5
1/1/1977,7.4
2/1/1977,7.3
3/1/1977,7.1
4/1/1977,6.8
5/1/1977,6.6
6/1/1977,6.4
7/1/1977,6.2
8/1/1977,6.1
9/1/1977,6.1
10/1/1977,5.9
11/1/1977,5.8
12/1/1977,5.8
1/1/1978,5.7
2/1/1978,5.6
3/1/1978,5.6
4/1/1978,5.5
5/1/1978,5.5
6/1/1978,5.5
7/1/1978,5.4
8/1/1978,5.4
9/1/1978,5.4
10/1/1978,5.5
11/1/1978,5.5
12/1/1978,5.6
1/1/1979,5.7
2/1/1979,5.7
3/1/1979,5.7
4/1/1979,5.8
5/1/1979,5.8
6/1/1979,5.8
7/1/1979,5.9
8/1/1979,5.9
9/1/1979,6
10/1/1979,6
11/1/1979,6
12/1/1979,6.1
1/1/1980,6.3
2/1/1980,6.6
3/1/1980,7.1
4/1/1980,7.7
5/1/1980,8.3
6/1/1980,8.8
7/1/1980,9.1
8/1/1980,9.3
9/1/1980,9.2
10/1/1980,9.2
11/1/1980,9.1
12/1/1980,9.1
1/1/1981,9.1
2/1/1981,9.1
3/1/1981,9
4/1/1981,9
5/1/1981,9
6/1/1981,9
7/1/1981,9.2
8/1/1981,9.5
9/1/1981,9.9
10/1/1981,10.3
11/1/1981,10.7
12/1/1981,11
1/1/1982,11.3
2/1/1982,11.6
3/1/1982,11.8
4/1/1982,12
5/1/1982,12.2
6/1/1982,12.4
7/1/1982,12.6
8/1/1982,12.9
9/1/1982,13.2
10/1/1982,13.4
11/1/1982,13.7
12/1/1982,13.8
1/1/1983,13.8
2/1/1983,13.7
3/1/1983,13.6
4/1/1983,13.3
5/1/1983,13
6/1/1983,12.7
7/1/1983,12.3
8/1/1983,11.9
9/1/1983,11.5
10/1/1983,11.1
11/1/1983,10.8
12/1/1983,10.5
1/1/1984,10.3
2/1/1984,10
3/1/1984,9.9
4/1/1984,9.7
5/1/1984,9.5
6/1/1984,9.4
7/1/1984,9.3
8/1/1984,9.2
9/1/1984,9.1
10/1/1984,9.1
11/1/1984,9.1
12/1/1984,9
1/1/1985,8.9
2/1/1985,8.9
3/1/1985,8.9
4/1/1985,8.9
5/1/1985,8.9
6/1/1985,9
7/1/1985,9.1
8/1/1985,9.1
9/1/1985,9
10/1/1985,8.9
11/1/1985,8.8
12/1/1985,8.6
1/1/1986,8.5
2/1/1986,8.5
3/1/1986,8.4
4/1/1986,8.4
5/1/1986,8.4
6/1/1986,8.4
7/1/1986,8.4
8/1/1986,8.3
9/1/1986,8.2
10/1/1986,8.2
11/1/1986,8.1
12/1/1986,8
1/1/1987,8
2/1/1987,7.8
3/1/1987,7.7
4/1/1987,7.5
5/1/1987,7.4
6/1/1987,7.2
7/1/1987,7
8/1/1987,6.8
9/1/1987,6.6
10/1/1987,6.5
11/1/1987,6.4
12/1/1987,6.4
1/1/1988,6.4
2/1/1988,6.3
3/1/1988,6.3
4/1/1988,6.2
5/1/1988,6.1
6/1/1988,6
7/1/1988,6
8/1/1988,5.9
9/1/1988,5.9
10/1/1988,5.8
11/1/1988,5.7
12/1/1988,5.6
1/1/1989,5.4
2/1/1989,5.3
3/1/1989,5.3
4/1/1989,5.3
5/1/1989,5.3
6/1/1989,5.4
7/1/1989,5.5
8/1/1989,5.7
9/1/1989,5.8
10/1/1989,5.9
11/1/1989,6
12/1/1989,6
1/1/1990,6
2/1/1990,5.9
3/1/1990,5.7
4/1/1990,5.6
5/1/1990,5.6
6/1/1990,5.6
7/1/1990,5.6
8/1/1990,5.7
9/1/1990,5.7
10/1/1990,5.9
11/1/1990,6
12/1/1990,6.2
1/1/1991,6.4
2/1/1991,6.5
3/1/1991,6.6
4/1/1991,6.6
5/1/1991,6.6
6/1/1991,6.6
7/1/1991,6.5
8/1/1991,6.4
9/1/1991,6.4
10/1/1991,6.5
11/1/1991,6.6
12/1/1991,6.7
1/1/1992,6.9
2/1/1992,7.1
3/1/1992,7.3
4/1/1992,7.5
5/1/1992,7.6
6/1/1992,7.6
7/1/1992,7.6
8/1/1992,7.6
9/1/1992,7.5
10/1/1992,7.4
11/1/1992,7.3
12/1/1992,7.3
1/1/1993,7.2
2/1/1993,7.1
3/1/1993,6.9
4/1/1993,6.8
5/1/1993,6.7
6/1/1993,6.6
7/1/1993,6.5
8/1/1993,6.5
9/1/1993,6.5
10/1/1993,6.5
11/1/1993,6.4
12/1/1993,6.4
1/1/1994,6.4
2/1/1994,6.3
3/1/1994,6.3
4/1/1994,6.2
5/1/1994,6
6/1/1994,5.9
7/1/1994,5.7
8/1/1994,5.5
9/1/1994,5.3
10/1/1994,5
11/1/1994,4.8
12/1/1994,4.6
1/1/1995,4.5
2/1/1995,4.5
3/1/1995,4.5
4/1/1995,4.7
5/1/1995,4.8
6/1/1995,4.9
7/1/1995,5
8/1/1995,5.1
9/1/1995,5.1
10/1/1995,5.1
11/1/1995,5.1
12/1/1995,5.1
1/1/1996,5.1
2/1/1996,5
3/1/1996,5
4/1/1996,5
5/1/1996,5
6/1/1996,5
7/1/1996,4.9
8/1/1996,4.9
9/1/1996,4.9
10/1/1996,5
11/1/1996,5
12/1/1996,5.1
1/1/1997,5.1
2/1/1997,5
3/1/1997,4.9
4/1/1997,4.7
5/1/1997,4.6
6/1/1997,4.5
7/1/1997,4.4
8/1/1997,4.4
9/1/1997,4.4
10/1/1997,4.5
11/1/1997,4.5
12/1/1997,4.5
1/1/1998,4.4
2/1/1998,4.3
3/1/1998,4.3
4/1/1998,4.3
5/1/1998,4.3
6/1/1998,4.3
7/1/1998,4.4
8/1/1998,4.4
9/1/1998,4.4
10/1/1998,4.4
11/1/1998,4.4
12/1/1998,4.3
1/1/1999,4.3
2/1/1999,4.3
3/1/1999,4.3
4/1/1999,4.3
5/1/1999,4.4
6/1/1999,4.4
7/1/1999,4.4
8/1/1999,4.4
9/1/1999,4.3
10/1/1999,4.3
11/1/1999,4.3
12/1/1999,4.2
1/1/2000,4.2
2/1/2000,4.2
3/1/2000,4.2
4/1/2000,4.2
5/1/2000,4.2
6/1/2000,4.2
7/1/2000,4.2
8/1/2000,4.1
9/1/2000,4.1
10/1/2000,4
11/1/2000,3.9
12/1/2000,3.9
1/1/2001,3.8
2/1/2001,3.8
3/1/2001,3.8
4/1/2001,3.9
5/1/2001,4
6/1/2001,4.1
7/1/2001,4.3
8/1/2001,4.5
9/1/2001,4.7
10/1/2001,5
11/1/2001,5.2
12/1/2001,5.4
1/1/2002,5.6
